BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
                       172.31.253.245                         0 13979 65514 i
 *>  162.92.128.250/32
                       172.31.253.245                         0 13979 65514 i
 *>  162.92.129.32/29 172.31.253.245                         0 13979 65503 65531 i
 *>  162.92.130.32/29 172.31.253.245                         0 13979 65508 64701 i
 *>  162.92.130.249/32
                       172.31.253.245                         0 13979 65508 i
 *>  162.92.130.250/32
                       172.31.253.245                         0 13979 65508 65508 65508 i
 *>  162.92.252.104/29
                       172.31.253.245                         0 13979 65514 i
 *>  162.92.252.112/29
                       172.31.253.245                         0 13979 65514 i
 *>  162.92.252.136/29
                       172.31.253.245                         0 13979 65508 i
 *>  162.92.252.160/29
                       172.31.253.245                         0 13979 65503 i
 *>  162.92.255.127/32
                       172.31.253.245                         0 13979 21302 65301 ?
 *>  162.92.255.128/32
                       172.31.253.245                         0 13979 21302 65301 ?
 *>  172.31.127.12/30 172.31.253.245                         0 13979 i
 *>  172.31.127.16/30 172.31.253.245                         0 13979 i
 *>  172.31.127.20/30 172.31.253.245                         0 13979 i
 *>  172.31.127.24/30 172.31.253.245                         0 13979 i
 *>  172.31.244.4/32  172.31.253.245                         0 13979 64901 ?
 *>  172.31.244.5/32  172.31.253.245                         0 13979 64901 ?
 *>  172.31.253.0/30  172.31.253.245                         0 13979 ?
 *>  172.31.253.4/30  172.31.253.245                         0 13979 ?
 *>  172.31.253.56/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.60/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.64/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.68/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.72/30 172.31.253.245                         0 13979 i
 *>  172.31.253.76/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.80/30 172.31.253.245                         0 13979 i
 *>  172.31.253.84/30 172.31.253.245                         0 13979 ?
 *>  172.31.253.140/30
                       172.31.253.245                         0 13979 ?
 *>  172.31.253.144/30
                       172.31.253.245                         0 13979 ?
 *>  172.31.253.148/30
                       172.31.253.245                         0 13979 ?
 *>  172.31.253.152/30
                       172.31.253.245                         0 13979 ?
 *>  172.31.253.212/30
                       172.31.253.245                         0 13979 21302 i
 *>  172.31.253.216/30
                       172.31.253.245                         0 13979 21302 i
 *>  172.31.253.220/30
                       172.31.253.245                         0 13979 i
 *>  172.31.253.224/30
                       172.31.253.245                         0 13979 i
 *>  172.31.253.236/30
                       172.31.253.245                         0 13979 i
 *>  172.31.253.240/30
                       172.31.253.245                         0 13979 i
 r>  172.31.253.244/30
                       172.31.253.245                         0 13979 i
 *>  172.31.253.248/30
                       172.31.253.245                         0 13979 i
 *>  172.31.255.112/30
                       172.31.253.245                         0 13979 ?
 *>  172.31.255.116/30
                       172.31.253.245                         0 13979 ?
 *>  206.16.74.64/27  172.31.253.245                         0 13979 65507 65507 ?

Total number of prefixes 273 
