BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *   10.6.1.109/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.1.110/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.1.111/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.1.112/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.1.113/32    10.111.40.121                          0 13979 64260 ?
 *   10.6.1.117/32    10.111.40.121                          0 13979 64213 ?
 *   10.6.1.119/32    10.111.40.121                          0 13979 64676 ?
 *   10.6.1.120/32    10.111.40.121                          0 13979 64485 ?
 *   10.6.1.121/32    10.111.40.121                          0 13979 64375 ?
 *   10.6.1.123/32    10.111.40.121                          0 13979 64375 ?
 *   10.6.1.126/32    10.111.40.121                          0 13979 64236 ?
 *   10.6.1.128/32    10.111.40.121                          0 13979 64395 ?
 *   10.6.1.132/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.133/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.136/32    10.111.40.121                          0 13979 64901 64908 ?
 *   10.6.1.137/32    10.111.40.121                          0 13979 64901 64908 ?
 *   10.6.1.138/32    10.111.40.121                          0 13979 64901 64909 ?
 *   10.6.1.139/32    10.111.40.121                          0 13979 64901 64909 ?
 *   10.6.1.140/32    10.111.40.121                          0 13979 64901 64907 ?
 *   10.6.1.141/32    10.111.40.121                          0 13979 64901 64907 ?
 *   10.6.1.147/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.148/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.149/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.150/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.151/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.152/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.153/32    10.111.40.121                          0 13979 64901 64905 ?
 *   10.6.1.154/32    10.111.40.121                          0 13979 64901 64905 ?
