BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.82.29.32/29   10.82.28.3               0             0 65179 ?
 *m  10.82.30.0/24    10.82.28.3               0             0 65179 ?
 *m  10.82.31.2/32    10.82.28.3                             0 65179 ?
 *>  10.82.31.3/32    10.82.28.3               0             0 65179 ?
 *m  10.82.31.11/32   10.82.28.3                             0 65179 65177 65176 ?
 *m  10.82.31.13/32   10.82.28.3                             0 65179 65178 ?
 *>  10.82.31.14/32   10.82.28.3                             0 65179 65178 ?
 *>  10.82.31.15/32   10.82.28.3                             0 65179 65177 ?
 *m  10.82.31.16/32   10.82.28.3                             0 65179 65177 ?
 *>  10.95.14.0/25    10.82.28.3                             0 65179 64951 ?
 *>  10.104.10.0/24   10.82.28.3                             0 65179 64951 ?
 *m  10.104.13.0/24   10.82.28.3                             0 65179 64950 64087 ?
 *>  10.105.111.0/24  10.82.28.3                             0 65179 64951 64756 ?
 *m  10.105.168.0/24  10.82.28.3                             0 65179 64950 ?
 *m  10.111.6.52/30   10.82.28.3                             0 65179 64950 64337 ?
 *m  10.111.42.104/30 10.82.28.3                             0 65179 64950 64484 ?
 *>  10.111.42.216/30 10.82.28.3                             0 65179 64951 64258 ?
 *m  10.111.43.160/30 10.82.28.3                             0 65179 64950 64087 ?
 *>  10.111.43.180/30 10.82.28.3                             0 65179 64951 64756 ?
 *m  10.111.44.36/30  10.82.28.3                             0 65179 64950 64238 ?
 *m  10.111.44.40/30  10.82.28.3                             0 65179 64950 64239 ?
 *m  10.111.249.128/32
                       10.82.28.3                             0 65179 64950 64191 ?
 *>  10.111.250.4/32  10.82.28.3                             0 65179 64950 65256 ?
 *m  10.111.250.56/32 10.82.28.3                             0 65179 64950 64030 ?
 *m  10.111.250.77/32 10.82.28.3                             0 65179 64950 64484 ?
 *>  10.111.250.93/32 10.82.28.3                             0 65179 64951 64258 ?
 *m  10.111.250.96/32 10.82.28.3                             0 65179 64950 64250 ?
 *m  10.111.250.152/32
                       10.82.28.3                             0 65179 64950 64087 ?
 *>  10.111.250.157/32
                       10.82.28.3                             0 65179 64951 64756 ?
 *m  10.111.250.166/32
                       10.82.28.3                             0 65179 64950 65030 ?
 *>  10.111.250.182/32
                       10.82.28.3                             0 65179 64951 64041 ?
 *m  10.111.250.185/32
                       10.82.28.3                             0 65179 64950 64238 ?
 *m  10.111.250.186/32
                       10.82.28.3                             0 65179 64950 64239 ?
 *m  10.111.253.37/32 10.82.28.3                             0 65179 64950 64337 ?
 *m  10.129.24.0/25   10.82.28.3                             0 65179 64950 64191 ?
 *m  10.129.80.0/25   10.82.28.3                             0 65179 64950 64484 ?
 *m  10.129.86.0/24   10.82.28.3                             0 65179 64950 65256 ?
 *m  10.129.98.0/25   10.82.28.3                             0 65179 64950 64030 ?
 *m  10.129.99.0/24   10.82.28.3                             0 65179 64950 64337 ?
 *m  10.129.249.0/24  10.82.28.3                             0 65179 64950 64239 ?
 *m  10.129.250.128/25
                       10.82.28.3                             0 65179 64950 ?
 *m  10.174.0.0/24    10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *>  10.174.1.0/24    10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *>  10.174.3.0/24    10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *m  10.174.4.0/26    10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *>  10.174.5.0/26    10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *m  10.174.5.128/26  10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *>  10.174.5.192/26  10.82.28.3                             0 65179 65177 65176 64999 13884 36351 i
 *m  10.177.12.0/22   10.82.28.3                             0 65179 65177 65176 64480 i
 *m  10.226.0.0/19    10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.32.0/19   10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.64.0/19   10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.96.0/19   10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.128.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.160.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.226.192.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.0.0/19    10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.32.0/19   10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.64.0/19   10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.96.0/19   10.82.28.3                             0 65179 65177 12076 i
 *>  10.227.128.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.160.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.192.0/19  10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.248.0/22  10.82.28.3                             0 65179 65177 12076 i
 *m  10.227.252.0/22  10.82.28.3                             0 65179 65177 65176 64999 12076 i
 *>  10.238.0.242/32  10.82.28.3                             0 65179 64950 ?
 *>  10.238.0.243/32  10.82.28.3                             0 65179 64951 ?
 *>  10.238.1.64/26   10.82.28.3                             0 65179 64951 ?
 *>  10.238.1.128/27  10.82.28.3                             0 65179 64950 ?
 *m  10.238.1.192/26  10.82.28.3                             0 65179 64950 ?
 *m  10.239.3.0/25    10.82.28.3                             0 65179 64950 64337 ?
 *>  32.252.199.232/29
                       10.82.28.3                             0 65179 65178 ?
 *>  32.252.207.24/29 10.82.28.3                             0 65179 65178 ?
 *>  32.253.21.64/29  10.82.28.3                             0 65179 65178 ?
 *>  32.253.21.66/32  10.82.28.3               0             0 65179 ?
 *>  32.253.43.72/29  10.82.28.3                             0 65179 65178 ?
 *>  32.253.43.74/32  10.82.28.3               0             0 65179 ?
 *>  134.6.255.64/29  10.82.28.3                             0 65179 65177 ?
 *m  144.9.251.0/25   10.82.28.3                             0 65179 65177 ?
 *>  162.223.83.32/28 10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.83.96/28 10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.83.192/27
                       10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.83.224/27
                       10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.86.32/28 10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.86.96/28 10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.86.192/27
                       10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.86.224/27
                       10.82.28.3                             0 65179 65177 65001 16504 ?
 *>  162.223.87.0/25  10.82.28.3                             0 65179 65177 65001 16504 ?
 *m  169.254.0.0/30   10.82.28.3                             0 65179 65177 65176 ?
 *m  169.254.129.1/32 10.82.28.3                             0 65179 64950 ?

Total number of prefixes 470 
