
BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.35.115.0/25   10.82.28.1                             0 65179 64950 64484 ?
 *>  10.35.148.0/25   10.82.28.1                             0 65179 64950 64132 ?
 *>  10.35.149.0/25   10.82.28.1                             0 65179 64950 64132 ?
 *>  10.35.150.0/25   10.82.28.3                             0 65179 64951 64130 ?
 *>  10.35.182.128/25 10.82.28.3                             0 65179 64951 64041 ?
 *>  10.35.195.0/24   10.82.28.3                             0 65179 64951 64041 ?
 *>  10.37.14.0/24    10.82.28.1                             0 65179 64950 64387 ?
 *>  10.37.15.0/24    10.82.28.1                             0 65179 64950 64387 ?
 *>  10.37.41.0/24    10.82.28.1                             0 65179 64951 65000 ?
 *>  10.38.32.0/28    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.32.16/28   10.82.28.1                             0 65179 64950 65027 ?
 *>  10.38.32.32/28   10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.32.48/28   10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.32.64/28   10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.33.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.33.128/25  10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.34.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.34.128/25  10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.35.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.35.128/25  10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.36.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.36.128/25  10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.37.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.37.128/25  10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.38.0/25    10.82.28.3                             0 65179 64950 65027 ?
 *>  10.38.56.0/25    10.82.28.1                             0 65179 64950 64449 ?
 *>  10.38.57.0/25    10.82.28.1                             0 65179 64950 64449 ?
 *>  10.38.80.128/25  10.82.28.1                             0 65179 64950 64250 ?
 *>  10.38.87.0/24    10.82.28.3                             0 65179 64951 ?
 *>  10.38.88.0/24    10.82.28.3                             0 65179 64951 64258 ?
 *>  10.38.89.0/24    10.82.28.1                             0 65179 64950 64250 ?
